VIN,Stock#,Year,Make,Model,Type,Drive,Odo,Engine,Transmission,Ext color,yard_number,yard_name,Live Start,day_of_week,Event,time_zone,item,lot_number,vehicle_type,year,make,model_group,model_detail,body_style,color,damage_description,secondary_damage,sale_title_state,sale_title_type,has_keys,lot_cond_code,odometer_brand,est_retail_value,repair_cost,fuel_type,cylinders,runs_drives,sale_status,high_bid_non_vix_sealed_vix,special_note,Location,location_state,location_zip5,location_zip4,location_country,currency_code,image_thumbnail,create_date_time,grid_row,make_an_offer_eligible,Current Bid,image_url,trim,last_updated_time,rentals,copart_select,source,Timestamp
KMHCN46C49U314338,PWW347814,2009,Hyundai,Accent,Sedan,FWD,139338                                                                                                        ACTUAL,1.6L I4 110hp 106ft. lbs.,Automatic,GRAY,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2009 Hyundai Accent ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
JTHBF30G120060649,NWW252929,2002,Lexus,ES 300,Sedan,FWD,310706                                                                                                        ACTUAL,3.0L V6 210hp 220ft. lbs.,Automatic,SILVER,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2002 Lexus ES300 ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1HGFA16597L042953,PHV160179,2007,Honda,Civic,Sedan,FWD,130000                                            TMU,1.8L I4 140hp 128ft. lbs.,Automatic,BLUE,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2007 Honda Civic ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
5TDZK23C27S085983,DXY24658,2007,Toyota,Sienna,MINI VAN,FWD,235771                                                                                                        ACTUAL,3.5L V6 266hp 245ft. lbs.,Automatic,GRAY,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2007 Toyota Sienna ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
3FAFP37333R176316,DHV46257,2003,Ford,Focus,HATCHBACK,FWD,78313                                                                                                        ACTUAL,2.0L I4 130hp 135ft. lbs.,Automatic,SILVER,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2003 Ford Focus ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
5NPEB4AC7BH065840,PCA59409,2011,Hyundai,Sonata,Sedan,FWD,186122                                                                                                        ACTUAL,2.4L I4 198hp 184ft. lbs.,Automatic,BLACK,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2011 Hyundai Sonata ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
2HKYF18434H530003,NWZ36742,2004,Honda,Pilot,SUV,4WD,220621                                                                                                        ACTUAL,3L NA V6 single overhead cam (SOHC) 24V,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2004 Honda Pilot ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
JTHBA30G755127275,NET248275,2005,Lexus,ES 330,Sedan,FWD,178797                                                                                                        ACTUAL,3.3L V6 225hp 240ft. lbs.,Automatic,MAROON,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2005 Lexus ES330 ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
5FNRL38707B074046,PEI132177,2007,Honda,Odyssey,MINI VAN,FWD,208866                                                                                                        ACTUAL,3.5L V6 244hp 240ft. lbs.,Automatic,BLUE,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2007 Honda Odyssey ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
4T1BD1FK2CU025275,DEI880349,2012,Toyota,Camry Hybrid,Sedan,FWD,156882                                                                                                        ACTUAL,2.5L Hybrid I4 156hp 156ft. lbs.,Automatic,BLACK,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2012 Toyota CamryHybrid ,,,,,,,,,,,,,,,,,,,,,,,,"Washington, DC",,,,,$,,,,,,,,,,,,
